DATE,STATE,CASES
1/13/20,WA,0
1/14/20,WA,0
1/15/20,WA,0
1/16/20,WA,0
1/17/20,WA,0
1/18/20,WA,0
1/19/20,WA,1
1/20/20,WA,0
1/21/20,WA,1
1/22/20,WA,0
1/23/20,WA,0
1/24/20,WA,0
1/25/20,WA,0
1/26/20,WA,0
1/27/20,WA,0
1/28/20,WA,0
1/29/20,WA,0
1/30/20,WA,0
1/31/20,WA,0
2/1/20,WA,0
2/2/20,WA,0
2/3/20,WA,1
2/4/20,WA,0
2/5/20,WA,0
2/6/20,WA,2
2/7/20,WA,0
2/8/20,WA,0
2/9/20,WA,0
2/10/20,WA,0
2/11/20,WA,0
2/12/20,WA,0
2/13/20,WA,1
2/14/20,WA,1
2/15/20,WA,0
2/16/20,WA,0
2/17/20,WA,0
2/18/20,WA,0
2/19/20,WA,0
2/20/20,WA,0
2/21/20,WA,0
2/22/20,WA,0
2/23/20,WA,1
2/24/20,WA,1
2/25/20,WA,1
2/26/20,WA,2
2/27/20,WA,1
2/28/20,WA,2
2/29/20,WA,3
3/1/20,MI,14
3/1/20,WA,8
3/1/20,WY,0
3/2/20,MI,13
3/2/20,NE,0
3/2/20,NJ,0
3/2/20,NY,0
3/2/20,RI,2
3/2/20,VA,0
3/2/20,WA,17
3/2/20,WY,0
3/3/20,MI,23
3/3/20,NE,0
3/3/20,NJ,0
3/3/20,NY,1
3/3/20,PA,0
3/3/20,RI,0
3/3/20,TX,0
3/3/20,VA,0
3/3/20,VT,0
3/3/20,WA,16
3/3/20,WI,0
3/3/20,WY,0
3/4/20,CA,53
3/4/20,MI,24
3/4/20,NC,1
3/4/20,NE,0
3/4/20,NH,2
3/4/20,NJ,0
3/4/20,NY,0
3/4/20,OR,0
3/4/20,PA,0
3/4/20,RI,0
3/4/20,SC,0
3/4/20,TX,0
3/4/20,VA,0
3/4/20,VT,0
3/4/20,WA,34
3/4/20,WI,1
3/4/20,WY,0
3/5/20,CA,0
3/5/20,CO,2
3/5/20,CT,0
3/5/20,DC,0
3/5/20,FL,7
3/5/20,GA,2
3/5/20,HI,0
3/5/20,IL,5
3/5/20,IN,0
3/5/20,MA,0
3/5/20,MD,0
3/5/20,MI,26
3/5/20,NC,0
3/5/20,NE,0
3/5/20,NH,0
3/5/20,NJ,2
3/5/20,NM,0
3/5/20,NV,1
3/5/20,NY,2
3/5/20,OH,0
3/5/20,OR,3
3/5/20,PA,0
3/5/20,RI,1
3/5/20,SC,0
3/5/20,TN,1
